ID,CATID,RA,DEC,FIELD,KRON_RADIUS,A_IMAGE,B_IMAGE,THETA_IMAGE,RH_F200W,FWHM_F200W,FLUX_115,FLUXERR_115,FLUX_150,FLUXERR_150,FLUX_200,FLUXERR_200,FLUX_277,FLUXERR_277,FLUX_356,FLUXERR_356,FLUX_410,FLUXERR_410,FLUX_444,FLUXERR_444,FLUX_606,FLUXERR_606,FLUX_814,FLUXERR_814,FLUX_105,FLUXERR_105,FLUX_125,FLUXERR_125,FLUX_140,FLUXERR_140,FLUX_160,FLUXERR_160,c_Hmag,c_zbest,c_zspec,c_mass,c_sfrtot,c_U,c_V,c_J,c_gf_phy_re_h,c_zhu_sig1,c_ACS_F606W_FLUX,c_ACS_F606W_FLUXERR,c_ACS_F814W_FLUX,c_ACS_F814W_FLUXERR,c_WFC3_F140W_FLUX,c_WFC3_F140W_FLUXERR,c_WFC3_F125W_FLUX,c_WFC3_F125W_FLUXERR,c_WFC3_F160W_FLUX,c_WFC3_F160W_FLUXERR,sepmos,Kmag,m_zspec,m_zspec_zqual,m_zspec_use,id_2,ra,dec,z_spec,nusefilt,z_ml,z_ml_chi2,z_ml_risk,z_phot,z_phot_chi2,z_phot_risk,z_min_risk,min_risk,z_raw_chi2,raw_chi2,z025,z160,z500,z840,z975,restU,restU_err,restB,restB_err,restV,restV_err,restJ,restJ_err,dL,Lv,mass,sfr,LIR,energy_abs,Av,lw_age_V,MLv,UV,VJ,lmass,ZA_finkelstein,ZPEAK_finkelstein,fullname,fullname_v02,id,fast_z,fast_ltau,fast_metal,fast_lage,fast_Av,fast_lmass,fast_lsfr,fast_lssfr,fast_la2t,fast_chi2,with_miri,excess,flag,F115W_MAG,F115W_MAG_ERR,F115W_RE,F115W_RE_ERR,F115W_N,F115W_N_ERR,F115W_Q,F115W_Q_ERR,F115W_PA,F115W_PA_ERR,F115W_FLAG,F150W_MAG,F150W_MAG_ERR,F150W_RE,F150W_RE_ERR,F150W_N,F150W_N_ERR,F150W_Q,F150W_Q_ERR,F150W_PA,F150W_PA_ERR,F150W_FLAG,F200W_MAG,F200W_MAG_ERR,F200W_RE,F200W_RE_ERR,F200W_N,F200W_N_ERR,F200W_Q,F200W_Q_ERR,F200W_PA,F200W_PA_ERR,F200W_FLAG,F277W_MAG,F277W_MAG_ERR,F277W_RE,F277W_RE_ERR,F277W_N,F277W_N_ERR,F277W_Q,F277W_Q_ERR,F277W_PA,F277W_PA_ERR,F277W_FLAG,F356W_MAG,F356W_MAG_ERR,F356W_RE,F356W_RE_ERR,F356W_N,F356W_N_ERR,F356W_Q,F356W_Q_ERR,F356W_PA,F356W_PA_ERR,F356W_FLAG,F444W_MAG,F444W_MAG_ERR,F444W_RE,F444W_RE_ERR,F444W_N,F444W_N_ERR,F444W_Q,F444W_Q_ERR,F444W_PA,F444W_PA_ERR,F444W_FLAG,lgSigma1,nSigma1,beta,beta_dark,lmass_p
962,1047,214.9761426,52.9914881,1,1.69,14.484,12.401,49.36,10.124,16.55,294.3249591,15.03474272,1128.747472,17.5821683,1757.123353,16.99298531,2585.133705,16.99954198,3973.3517,22.89580788,4964.522377,44.09436053,6063.279402,38.69507472,88.58785625,76.30154407,152.5469618,137.0186381,0,2.76E+13,513.2171719,61.20089579,615.6145554,44.5411278,1222.764244,142.7878376,23.5429,2.18,2.526873112,10.57,193.412,-19.873238,-21.394343,-22.881779,3.711540402,-99,89.7602372,24.6230979,209.777655,46.1394257,982.886605,93.6757399,537.470639,54.4897336,1389.38633,68.2080959,0.034450726,23.28799437,2.526873,2,2.526873,962,214.9761426,52.9914881,2.526873112,12,2.569101,78.66015,0.004481651,2.569101,78.66015,0.004481651,2.5606756,0.004595359,2.5606756,78.76966,2.4915566,2.53298,2.5688522,2.6019182,2.6376417,463.99484,26.178345,1240.5875,33.675964,1716.2653,26.948608,6085.882,65.9458,21077.87969,36535068940,38000389913,0.093501899,8298391937,0,1.131232469,-99,1.040107245,1.4201783,1.3743478,10.57978805,2.56,2.57127092,nircam1-1047,nircam1-824,962,2.57,8.3,0.02,8.3,1.9,10.32,1.93,-8.4,0,101,0,26.77165354,1,25.6766,0.0297,0.312312,0.014397,0.7017,0.0587,0.788,0.0265,55.3367,6.6617,0,23.8041,0.0112,0.465417,0.007431,1.0087,0.0211,0.8008,0.0085,36.2987,2.188,0,23.2539,0.008,0.458136,0.004827,1.5676,0.0177,0.7899,0.005,17.163902,1.3157,0,22.8975,0.0067,0.36886197,0.00405,2.5196,0.0258,0.7629,0.0043,2.022499,0.6856,0,22.437,0.0046,0.294063,0.002817,4.6598,0.0395,0.7044,0.0031,-0.2546997,0.3759,0,22.0313,0.0059,0.17919599,0.002469,8,0.1132,0.6484,0.0032,-4.4678993,0.3236,0,9.71E+00,4.28E-01,8.67E-02,1.922187665,10.69188699
1290,1394,214.9578766,52.98030101,1,1.6,5.653,5.001,14.85,2.667,3.99,136.3431678,5.513563732,323.3279659,7.909276488,1316.15883,11.17405409,1940.723885,10.65171347,1973.5666,9.142647399,2304.232679,13.14134952,2482.756004,9.405581769,21.98047513,22.91672625,58.1205985,55.99824609,0,8.32E+12,165.5309639,21.79415018,195.6341149,17.11126374,316.0093093,46.05053642,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.319155707,23.60172925,-99,-99,-99,1290,214.9578766,52.98030101,-99,12,3.454054,82.23994,0.001686772,3.454054,82.23994,0.001686772,3.436875,0.00246137,3.436875,82.57523,3.405683,3.4284494,3.454548,3.4815295,3.5159514,438.6168,37.788116,1228.7924,22.27362,1723.0144,28.58374,2910.2087,811.68604,30096.30199,59922542979,45297904703,0.583000637,10451377193,0,0.224333578,-99,0.755940961,1.4855093,0.5690881,10.65607811,3.61,3.580593991,nircam1-1394,nircam1-1085,1290,3.45,8.3,0.02,9,0,10.45,0.19,-10.26,0.7,68,0,12.58992806,0,25.9883,0,0.095685,0,3.8177,0,0.6001,0,64.7776,0,0,25.1299,0.0164,0.071885996,0.001935,3.1697,0.1826,0.6322,0.0149,73.8376,1.6534,0,23.6188,0,0.064047,0,3.1062,0.0001,0.5976,0,76.4962,0,0,23.2202,0.0013,0.054468,0.000255,3.5662,0.0394,0.5988,0.0034,77.255905,0.3121,0,23.2037,0,0.047721,0,3.613,0,0.6222,0,77.8767,0,0,22.9724,0,0.05106,0,3.1509,0,0.5592,0,79.035,0,0,1.01E+01,7.89E-01,-4.86E-01,-99,10.75137168
2490,2662,214.9818175,52.99123408,1,1.6,7.532,6.612,3.09,3.573,4.99,232.2632366,6.718568795,700.6631379,9.723357362,2665.771948,15.50547681,3777.545221,15.18684344,4303.622047,14.21666034,4925.418197,21.58630231,5232.460007,15.99663875,20.55073286,31.82616332,109.266283,61.91297671,0,1.13E+13,304.8030157,25.40711744,529.4896704,19.72231741,733.0290176,58.43721285,24.0747,3.096,-1,10.9,97.3942,-21.266775,-22.874225,-23.647001,1.006789476,-99,44.0404747,15.6826419,147.104378,30.07706,587.884383,51.9205028,370.216649,29.8451939,851.378355,30.3597682,0.015689311,22.83544252,1.00E+20,999999,1.00E+20,2490,214.9818175,52.99123408,-1,12,3.4113662,54.272778,0.001803871,3.4113662,54.272778,0.001803871,3.3927274,0.002811679,3.3927274,54.57557,3.3641384,3.3866057,3.4129214,3.442791,3.4764798,933.4384,28.495758,2449.7568,51.234497,3332.8198,51.638184,6028.739,1567.0159,29652.26319,1.14E+11,98541037534,0.214208546,13794336335,0,0.165892812,-99,0.867425516,1.3818154,0.6435367,10.99361713,3.4,3.420466944,nircam1-2662,nircam1-2080,2490,3.41,8.3,0.02,9,0.1,10.79,0.52,-10.26,0.7,52.7,0,-3.25203252,0,24.9122,0.0645,0.334965,0.044676,5.8883,0.4235,0.6859,0.0216,64.5768,2.4844,1,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,3,22.7769,0.0025,0.106326,0.00048,3.8237,0.03,0.7866,0.0027,59.581802,0.5197,0,22.4513,0.0012,0.089375995,0.000228,3.6523,0.0222,0.7926,0.0019,59.608,0.3188,0,22.3462,0.0008,0.084114,0.000183,3.1498,0.0168,0.7709,0.0016,60.3571,0.2537,0,22.1496,0.0011,0.080088,0.000216,3.2108,0.0225,0.7957,0.002,61.6131,0.3659,0,1.03E+01,6.61E-01,-4.51E-02,-99,11.08466915
4091,4341,215.007146,53.00124264,1,1.6,9.423,6.374,-21.72,5.483,8.21,338.8764915,8.723425205,572.5443933,10.69570062,1193.519799,11.95725171,1881.145538,10.06352794,2070.49663,9.914646075,2674.833826,17.64573918,2802.090629,12.13601993,103.1782685,34.53091244,214.2932282,73.10644359,0,1.36E+13,410.1501247,29.78892417,405.5775813,22.42153077,591.0716672,73.47396496,24.4193,3.392,-1,10.11,92.6645,-21.26276,-22.129917,-22.964757,2.676931064,-99,121.292061,15.439577,220.588282,30.2381297,411.538046,51.5365816,415.353013,30.3932807,619.84791,31.800651,0.008592544,23.70792593,1.00E+20,999999,1.00E+20,4091,215.007146,53.00124264,-1,12,3.459411,6.0923944,0.018684223,3.459411,6.0923944,0.018684223,3.3927274,0.011473506,3.4814665,7.1436377,3.2545254,3.3214407,3.4202657,3.46974,3.492983,708.6946,25.87558,1121.8135,16.591553,1497.0247,125.375244,3196.9585,1156.117,30152.08067,52193522067,30803337652,40.73571205,2.27E+11,0,0.698423164,-99,0.590175494,0.8119246,0.82377017,10.48859778,3.46,3.410928697,nircam1-4341,nircam1-3285,4091,3.46,8.3,0.02,8.6,0.9,10.38,1.44,-8.94,0.3,58.3,0,3.275862069,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,3,23.6371,0.0086,0.24220799,0.003507,2.4376,0.0351,0.6619,0.0053,9.231701,0.6453,0,23.193,0.003,0.213192,0.001092,2.2813,0.0152,0.6491,0.0025,13.246201,0.2845,0,23.1085,0.0027,0.20783699,0.000978,2.0945,0.014,0.6517,0.0024,15.095299,0.2784,0,22.8148,0.0028,0.17939699,0.000891,2.4545,0.0198,0.6454,0.0026,14.717598,0.284,0,9.60E+00,4.06E-01,-9.69E-01,-99,10.58290434
5489,6028,214.942148,52.94641413,1,1.6,20.27,15.35,-33.57,12.362,14.04,979.6628502,21.15188615,3411.215645,28.04070782,6798.508099,33.12465069,12434.6552,36.14079169,16596.14098,40.82448724,20140.16959,65.29024622,22439.35332,57.72856923,43.05925612,74.05885864,174.9298322,147.3816067,0,3.51E+13,1490.100402,73.10397988,2192.738287,53.83200191,3252.867246,223.9829081,22.2925,2.004,-1,11.2,42.7013,-20.382716,-22.483762,-24.015809,5.22942404,9.297,33.625386,28.3522925,221.180446,45.1721362,3127.04875,139.202852,1936.72026,77.596738,4395.5182,87.7433441,0.043926546,21.81896595,1.00E+20,999999,1.00E+20,5489,214.942148,52.94641413,-1,12,2.709271,15.642846,0.22091354,2.709271,15.642846,0.22091354,2.4554417,0.10681853,2.7059896,15.616779,2.1828475,2.2508163,2.4454753,2.709773,2.7420638,1952.3197,55.264404,4402.2974,138.28662,6988.2534,360.44604,23625.014,448.21777,22477.39881,1.63E+11,1.83E+11,113.1219921,7.96E+11,0,1.337984935,-99,1.122128865,1.3845444,1.3225085,11.26164545,2.29,2.38139344,nircam1-6028,nircam1-4576,5489,2.71,8.5,0.02,8.9,1.4,11.29,1.93,-9.36,0.4,146,0,41.56862745,1,23.925,0.0147,0.58913696,0.011007,0.9267,0.0206,0.8786,0.0098,-15.2001,4.1192,0,22.3949,0.0079,0.67434,0.007152,1.6092,0.0142,0.9048,0.0047,14.479401,2.1796,0,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,3,21.1715,0.0011,0.48239702,0.000792,2.2866,0.0036,0.7765,0.0008,-4.4519005,0.137,0,20.8843,0.0008,0.43191597,0.000606,2.6054,0.0035,0.7559,0.0005,-5.3566017,0.1043,0,20.5817,0.0011,0.398682,0.000744,2.8374,0.0053,0.7389,0.0008,-6.669899,0.0938,0,1.00E+01,1.89E-01,2.73E-01,2.336412509,11.74172704
7878,8576,215.0215369,52.99129822,1,1.6,10.405,7.6,41.03,8.634,38.49,75.0903689,12.37802889,318.0293883,12.64690549,758.8987604,9.562246136,1919.110323,9.389253225,4142.949418,12.44975284,5920.504007,22.77104364,6912.999165,17.51495203,14.47778395,43.31707341,-5.359628693,102.1713795,0,1.72E+13,54.09542549,39.27279728,164.2040666,28.40043226,275.9965212,92.79667542,24.2061,2.829,-1,10.78,401.356,-20.49314,-21.899459,-23.571261,23.24437815,-99,42.3118825,30.339503,108.477569,53.596881,464.059035,119.746571,123.029746,63.5328533,754.307312,56.48198,0.173767791,24.19954039,1.00E+20,999999,1.00E+20,7878,215.0215369,52.99129822,-1,11,2.9133248,26.86794,0.004418689,2.9133248,26.86794,0.004418689,2.8959997,0.00532863,2.8959997,27.120008,2.8381271,2.8765419,2.914169,2.9528708,2.9946697,203.73958,9.393639,529.65533,16.600647,943.13727,60.628418,8265.472,343.84937,24535.79375,24811883819,76080382015,0.074180902,18272429673,0,2.152425573,-99,3.066288016,1.6637487,2.356732,10.88127268,2.86,2.772984867,nircam1-8576,nircam1-6588,7878,2.91,8.7,0.02,7.6,3.5,10.38,2.83,-7.54,-1.1,13.6,0,6.829268293,0,25.7454,0.1352,0.995457,0.130674,0.3293,0.119,0.489,0.0625,10.065102,7.516,1,24.4037,0.048,0.826029,0.048591,0.8699,0.056,0.4269,0.0128,73.5497,1.3291,1,24.1674,0.0093,0.414609,0.004056,0.3654,0.0151,0.5387,0.0057,-89.61,0.7996,0,23.198,0.0046,0.359388,0.002496,1.1172,0.0115,0.5482,0.0026,86.7977,0.3146,0,22.5196,0.0015,0.29101798,0.000798,1.0426,0.0068,0.4771,0.0011,-89.448395,0.1248,0,22.0242,0.0011,0.270051,0.000513,0.935,0.0043,0.4376,0.0009,-88.128,0.0901,0,9.65E+00,1.86E-01,2.60E+00,-99,11.68976365
9106,9859,214.9774828,52.95349135,1,1.67,14.245,7.948,73.3,11.698,63.88,79.18076379,13.14077128,270.240863,14.93739431,653.9728021,12.40874855,1469.185204,10.97308791,2541.126145,12.32810523,3541.512546,23.53962676,4302.979731,20.07180193,24.49800876,58.32946411,13.23303381,96.85444935,0,2.41E+13,128.3629133,60.95975183,79.88323675,40.30060732,285.1993038,130.9671633,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.574803575,24.36110078,-99,-99,-99,9106,214.9774828,52.95349135,-99,12,3.0095215,13.28208,0.059660025,3.0095215,13.28208,0.059660025,3.0146506,0.059789877,3.0146506,13.324759,2.7824416,2.8781297,3.0111358,3.153806,3.7433157,199.50903,10.69342,496.14264,19.602081,850.74805,54.390625,5429.78,285.77173,25514.25703,23621354029,49770352507,4.258117473,37986025647,0,1.786154946,-99,2.107006755,1.574596,2.012453,10.69697072,2.98,2.948924978,nircam1-9859,nircam1-7723,9106,3.01,8.3,0.02,8.3,2.8,10.52,2.12,-8.4,0,40.6,0,-5.660377358,0,25.6231,0.0485,1.1798639,0.080369994,0.3992,0.0723,0.4613,0.0305,-49.4131,3.2415,1,24.7118,0.0194,0.933726,0.024387,0.3815,0.0295,0.4586,0.0119,-70.5687,1.3108,1,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,3,23.5725,0.0029,0.56358904,0.002133,0.6064,0.0061,0.4538,0.0014,-75.0362,0.1817,0,23.1307,0.0016,0.471051,0.001074,0.7956,0.0046,0.3712,0.0008,-75.3673,0.0818,0,22.6625,0.0013,0.40716597,0.000792,0.899,0.005,0.3177,0.0007,-74.787,0.069,0,9.18E+00,9.46E-02,1.83E+00,-99,11.2907104
10066,10882,215.0217572,52.97929591,1,1.6,14.192,9.967,89.96,12.174,41.12,1192.225754,17.19858998,2839.145562,20.79305808,4022.065919,16.72936305,5491.763203,14.90867057,7510.048233,14.90435422,8442.806499,27.38999172,9112.022421,22.62902496,380.545688,79.62260828,518.0914988,128.9388578,0,2.59E+13,1536.513121,55.58611703,2098.248277,30.34220214,2583.392578,131.7543946,22.6278,2.63,-1,10.76,169.643,-22.115918,-23.111697,-23.921968,5.504272645,-99,629.20602,33.4758777,772.76504,47.0288459,2676.91638,68.8815677,1893.03316,56.2526244,3227.57513,54.8072512,0.033614682,22.38887704,1.00E+20,999999,1.00E+20,10066,215.0217572,52.97929591,-1,12,2.5537715,5.162727,0.032097038,2.5537715,5.162727,0.032097038,2.5252464,0.02804023,2.5606756,5.324288,2.314031,2.3844674,2.5472732,2.5782194,2.6065917,1770.8396,34.289978,3015.4038,115.45581,3883.8445,74.328735,9143.75,102.69287,20925.57777,81838516558,43685436511,51.89527724,3.13E+11,0,0.963416927,-99,0.533800444,0.85270655,0.92965627,10.64033668,2.29,2.363876032,nircam1-10882,nircam1-8594,10066,2.55,8.7,0.02,8.6,1.2,10.57,1.95,-8.63,-0.1,61.7,0,24.20382166,1,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,3,22.3113,0.0028,0.632166,0.002019,0.7574,0.0044,0.6318,0.0015,-42.256,0.3191,0,22.0588,0.0018,0.58728,0.000858,0.6644,0.0025,0.6304,0.0008,-41.140602,0.153,0,21.7319,0.0009,0.57674694,0.000654,0.6944,0.0021,0.6086,0.0006,-39.2281,0.1102,0,21.5192,0.0017,0.48200998,0.0012,0.943,0.0033,0.8662,0.0016,-70.139496,0.5159,0,8.97E+00,6.77E-02,3.22E-01,-99,11.30070049
11038,327,214.8293075,52.8939246,2,1.6,10.316,7.154,-76.18,7.195,15.75,151.5614755,8.634579348,511.764336,10.39411499,1491.182868,10.98074976,3955.827102,13.101619,7076.173388,16.92140626,9659.334892,26.6907293,10911.14758,22.20455009,27.89574342,37.47651276,29.91653812,84.44164916,0,6.68E+13,206.6833396,37.51649975,374.0602313,25.09232704,469.330242,85.32327502,24.2385,2.551,-1,11.15,286.881,-20.090634,-21.900693,-23.933364,4.541551374,-99,47.7689865,16.8499325,107.598418,30.6711116,692.852775,66.839817,319.426059,40.3622488,732.173454,50.0199701,0.141915713,23.46617274,1.00E+20,999999,1.00E+20,11038,214.8293075,52.8939246,-1,12,2.740125,3.615631,0.061728228,2.740125,3.615631,0.061728228,2.7808557,0.05938194,2.7432353,3.6056888,2.3418064,2.6587586,2.7784305,2.9069042,3.0154696,314.35312,14.49823,728.5936,29.671234,1616.2052,40.868958,11694.995,519.9951,22787.08183,38372346829,1.72E+11,43.1154668,3.13E+11,0,2.006853799,-99,4.485766471,1.7776968,2.148759,11.23585502,2.92,2.771039955,nircam2-327,nircam2-686,11038,2.74,9.5,0.02,9.2,2.7,11.19,2.07,-9.11,-0.3,67.4,0,16.91176471,1,25.2352,0.0227,0.610677,0.012777,0.2,0.0169,0.4697,0.0115,-30.7064,1.1675,1,24.0273,0.0145,0.58052397,0.011847,0.921,0.0262,0.5392,0.0068,-23.166,0.9626,1,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,3,22.3612,0.0015,0.307836,0.000798,1.711,0.0058,0.5313,0.001,-35.0534,0.1037,0,21.8489,0.0007,0.255612,0.000342,1.4683,0.0042,0.5032,0.0006,-36.5123,0.0629,0,21.4386,0.0005,0.23633099,0.000231,1.2914,0.0031,0.4947,0.0005,-36.7955,0.0503,0,1.01E+01,2.47E-01,1.49E+00,1.640341262,11.55331423
13497,2927,214.9048498,52.9353504,2,1.6,6.136,5.621,-11.87,2.826,4.1,188.0638349,5.526775194,481.3068595,8.738875171,1518.863843,12.1634788,2121.650407,10.94961668,2439.995717,9.679441737,2801.529276,16.59941122,2974.806188,11.1989505,42.98951576,25.76609382,106.960908,47.04109872,0,3.94E+13,214.2527914,20.25243984,373.1214738,15.56408946,515.4746073,50.09168503,24.4211,3.043,-1,10.63,54.4617,-20.889208,-22.311431,-22.958391,1.142983598,-99,55.6387341,12.437791,118.134737,23.230201,482.300683,47.6007989,259.907175,25.8394918,618.808928,31.4387769,0.04561347,23.44620289,-999,0,-999,13497,214.9048498,52.9353504,-1,12,3.283397,18.315897,0.003058294,3.283397,18.315897,0.003058294,3.3057456,0.003551013,3.2629027,18.650936,3.2259724,3.25753,3.288219,3.3259885,3.366711,536.28735,24.439713,1339.1433,54.69641,1855.5775,16.663452,3352.6462,590.08044,28326.06681,59442067200,46511168946,0.122696301,7713084478,0,0.329282486,-99,0.782462171,1.3477039,0.6422716,10.66755725,3.25,3.282431815,nircam2-2927,nircam2-2225,13497,3.28,8.3,0.02,9,0.1,10.5,0.24,-10.26,0.7,22.9,0,-0.388349515,0,25.548,0.0397,0.139242,0.010281,3.7663,0.2661,0.5845,0.0188,22.3367,1.8495,0,24.7334,0.0102,0.080754004,0.001329,2.8997,0.1081,0.5005,0.0091,24.642998,0.7524,0,23.4764,0.0025,0.072252,0.000417,3.3641,0.0378,0.5144,0.0035,26.389801,0.2815,0,23.111,0.0018,0.064587,0.000264,4.0059,0.0448,0.5419,0.0027,24.993698,0.215,0,22.9698,0.0013,0.061577994,0.000201,3.5582,0.0318,0.5654,0.0024,26.942001,0.2011,0,22.7466,0,0.059159998,0,4.0686,0,0.574,0,26.823502,0,0,1.00E+01,7.19E-01,-7.37E-01,-99,10.79200906
