id,RA,DEC,ebv_mw,f_f105w,e_f105w,f_f125w,e_f125w,f_f140w,e_f140w,f_f160w,e_f160w,f_f435w,e_f435w,f_f606w,e_f606w,f_f814w,e_f814w,f_f090w,e_f090w,f_f115w,e_f115w,f_f150w,e_f150w,f_f200w,e_f200w,f_f277w,e_f277w,f_f356w,e_f356w,f_f410m,e_f410m,f_f444w,e_f444w,tot_cor,kron_radius,kron_radius_circ,use_circle,flag_kron,iso_area,use_aper,a_image,b_image,theta_J2000,flux_radius,z_spec,z_phot,z_phot_chi2,z025,z160,z500,z840,z975,mass,restU,restU_err,restV,restV_err,restJ,restJ_err,restus,restus_err,restgs,restgs_err,restis,restis_err,star_min_chi2,excess,flag,beta,beta_dark,RE,RE_ERR,N,N_ERR,Q,Q_ERR,PA,PA_ERR,lmass
53,150.1800143,2.231273888,0.014534618,nan,nan,307.1732886,7.167917951,359.1326152,9.859350469,396.9070053,6.397556061,165.2862961,3.986360701,226.1117029,3.335298302,235.6855688,4.441852051,207.3409317,15.73147816,221.4832909,16.01030087,338.464557,15.66598223,532.0914415,16.57901361,697.9772775,10.70558399,1065.178986,13.00080994,1392.886298,18.92297376,1575.563409,12.81086819,1.214386152,2.353680556,1.057144704,0,0,5.1488,1.4,12.85359097,9.809104919,-0.34260416,0.227400486,2.1507,2.5492876,10.503658,2.510598,2.5419903,2.6049566,2.6734388,2.7371998,3.12E+11,343.2611,10.660934,535.95087,27.725052,1743.8909,76.33429,248.53493,11.559319,411.8938,21.979599,695.6143,41.440125,437.4499,35.13513514,1,-0.835,-0.41,-99,-99,7.7739,1.5867,0.7577,0.075,-50.084,9.0712,10.65951169
31081,150.1119794,2.372628923,0.014596741,107.4694825,3.208969378,140.0258063,3.885632056,186.3533369,7.037131721,205.6874545,3.710175825,58.89860838,1.281990707,82.10016142,2.224691189,96.88374597,1.994450455,nan,nan,nan,nan,nan,nan,nan,nan,340.4537717,3.636083972,446.4044344,3.821232491,nan,nan,nan,nan,2.069763674,3.019521928,0.828718242,0,0,1.5264,0.7,7.679493904,6.130343914,-0.366524667,0.33817514,2.4571,2.5231721,2.8314319,2.3756363,2.4422297,2.5465224,2.6481378,2.708986,50295517420,147.3537,12.023415,281.10376,181.47472,551.11975,883.7327,104.24025,25.469463,217.44676,42.51645,332.9724,67.25986,356.58972,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10.70152928
30135,150.1280241,2.369452063,0.014388893,nan,nan,38.42283597,4.353183179,41.81119026,9.899797474,78.1098416,4.516786446,-6.83774982,2.299301044,6.883158206,2.373749479,5.668056889,3.057001896,9.228369115,6.449767277,28.03598545,6.530048543,67.88647671,6.958661698,122.0516615,6.746107972,208.412238,3.232854569,332.2030281,3.698930287,396.5940372,6.519188425,444.6904187,4.377724806,1.27293166,3.021617349,1.034382741,0,0,2.9184,1.4,10.1970129,7.182748318,-1.570720553,0.375477192,2.464,2.6783402,7.5399175,2.267049,2.501773,2.6567261,2.7837746,2.9048603,71110586738,28.623684,3.2082996,101.435486,9.495808,557.84235,41.88846,12.705787,1.641367,68.49492,5.425514,198.08992,39.491585,82.53491,9.285714286,0,0.777,-99,11.0265,0.2638,0.3347,0.0271,0.8388,0.0216,-50.5005,5.794,11.03407348
32274,150.1014706,2.376719161,0.014727794,49.47204898,1.831667522,69.80631202,2.29786312,95.37586509,4.184038361,97.98999897,2.193241281,12.44018351,0.716054715,28.70783851,1.078887476,37.61979304,1.00905181,36.02216061,4.141600315,54.694829,4.20730828,nan,nan,nan,nan,177.7170316,2.239653994,245.6786389,2.410486277,nan,nan,nan,nan,1.189901063,nan,nan,1,1,0.9744,0.7,5.652918816,4.807165146,-0.990523934,0.292086989,2.4663,2.5095289,5.337829,2.4403782,2.4928937,2.5706937,2.6508348,2.7002914,23703329134,74.19814,7.7635803,138.66313,104.0482,239.23544,138.87616,45.420055,2.889305,103.137024,5.5800476,177.36804,12.935997,346.35245,0,0,-0.495,-99,-99,-99,-99,-99,-99,-99,-99,-99,10.58045739
45554,150.1411286,2.426029684,0.014706342,nan,nan,55.52792487,2.126109632,65.17424512,5.589933485,81.63451214,2.22658331,12.1689945,1.414025989,21.57815628,1.4848983,29.98946074,1.489608922,29.51732558,2.540724038,48.15230604,2.713804271,84.39185578,2.975843227,123.6745625,2.935174684,177.318628,1.316628948,257.7182014,1.421259251,294.7604541,2.567233337,333.56632,1.634063677,1.493511861,2.938698097,0.66725465,0,0,1.5072,0.7,6.27761364,5.132851601,-1.217935681,0.237159391,2.5119,2.675331,5.8297286,1.9722735,2.2862191,2.5498056,2.6680183,2.7231185,48998556513,64.63327,4.5346985,117.534515,23.688324,345.0234,24.99022,40.58373,3.1424522,89.7425,9.816425,164.12027,33.887146,326.1142,27.66272189,1,-0.349,-99,5.9197,0.0781,0.2442,0.019,0.5329,0.0082,41.1118,0.9273,10.85662841
13169,150.1343335,2.307342574,0.014600981,nan,nan,116.6602919,4.840818505,171.6489386,9.613465476,227.3454009,4.948026101,14.01064099,2.80926481,31.08128348,2.320474036,41.18406257,2.74966285,42.51402941,7.123957823,81.09951,7.469354817,209.6490933,7.643553248,300.2392151,7.865930228,397.2367946,4.743925603,502.4767097,5.004320856,545.603397,7.004584421,586.4453386,4.369496614,1.128656421,2.481944982,0.803722902,0,0,2.632,1.4,9.738893509,6.729747772,0.834458172,0.27244981,2.5365,2.5199807,1.3160664,2.2609704,2.3375869,2.479205,2.5723712,2.6347675,64642230569,109.03114,4.0184174,318.4262,21.39206,617.04755,39.001648,56.288116,4.954397,245.70087,20.134254,408.62067,28.79126,306.00528,4.712041885,0,-0.513,-99,3.3391,0.1903,8,0.3858,0.6538,0.0123,-17.6897,1.277,10.62217381
8641,150.1213264,2.28513645,0.01500622,nan,nan,124.3281286,2.957334365,207.4825193,8.859678673,253.0161864,4.341187191,5.574615619,3.982460633,18.75451219,2.678799672,34.12543872,2.911604174,43.80570158,8.22441118,101.3453974,8.280017228,268.554884,8.114878588,399.5299594,8.295244312,617.0231433,4.92088642,907.5633952,5.619810165,1058.404432,8.083090833,1160.774705,5.324497352,1.09713773,nan,nan,1,1,10.4656,1.4,59.73097229,17.67269707,-0.666429043,5.734728501,2.562,2.59432,4.6742163,2.00005,2.1763675,2.3887253,2.58627,2.6604786,58102134261,53.175724,2.8953762,156.68732,8.477104,519.34094,37.900757,24.498999,3.4987507,108.94831,4.6990356,253.00943,14.338448,92.38776,39.8989899,1,-0.195,1.07,166.0448,2.6322,0.2,0.0176,-99,-99,42.3023,0.0703,10.9236122
8341,150.1671705,2.286382982,0.014487478,nan,nan,91.28067287,2.957250127,117.259603,7.417117058,139.8920212,2.776957198,nan,nan,60.41246057,1.600300029,77.4399558,1.775970947,82.60760268,2.808491313,97.98065299,3.078872053,144.4254571,2.601133858,186.6168845,2.513586688,202.6813041,1.514842315,208.2077912,1.466730751,236.8745357,2.381762325,239.2990888,1.46321826,1.511567546,3.116091025,0.699011172,0,0,1.4016,0.7,6.697724342,4.695703983,-1.342805386,0.238365066,2.9384,2.9172254,10.441,2.6582696,2.7342434,2.8873863,2.9966543,3.1084275,24973663112,121.44932,17.359982,179.38464,34.979225,252.14651,29.458488,92.48497,4.224251,148.72025,39.555107,187.78835,43.059647,275.30417,19.64573269,1,-1.28,-0.948,4.2084,0.0308,1.1425,0.0152,0.368,0.0027,19.706,0.241,10.55054132
45428,150.0963525,2.425358334,0.014851419,nan,nan,187.1818227,6.096712163,187.3170563,12.37009697,249.1005123,5.662441221,26.2112681,4.679582537,87.61438894,4.217577426,127.3030962,3.91709736,96.55901107,15.34640639,135.4255492,15.71087818,194.3142416,14.67540236,259.6101768,14.29031389,346.2234517,7.777519472,337.0283519,7.449859992,387.0279112,11.00659163,410.6655786,7.209447873,1.289379274,2.84895652,0.95357529,0,0,2.368,1.4,9.697365761,7.22045517,1.089292645,0.333803911,3.1212,2.725718,49.509747,2.6743507,2.6927521,2.7281187,2.8575873,3.5025644,32260105957,198.72955,6.0550995,257.6008,15.340141,459.32074,51.88588,131.23932,7.224285,239.23788,16.805756,274.2363,129.17249,290.07523,-1.552795031,0,-0.83,-99,-99,-99,8,18.4604,-99,-99,22.4486,9.9429,10.90192827
22100,150.100765,2.341441969,0.014824059,nan,nan,82.24384742,5.829602151,109.8732452,10.58078135,146.6558558,5.647571554,5.414950282,6.536930267,33.18665877,2.626813834,52.31567355,3.478471579,48.66466576,11.79487607,71.87665806,11.9158113,142.8923513,10.96558942,214.8416985,10.33720263,329.1938034,5.066282189,370.0606333,4.819727459,445.0038188,7.593940697,472.956505,5.083768413,1.476711551,3.120356474,1.245579029,0,0,3.1744,1.4,11.66335583,8.538678169,-1.511666894,0.522896339,3.1591,3.1463678,5.5417905,2.7890003,2.9697044,3.1328976,3.2736022,3.4983594,67081160574,126.874214,5.266693,206.05167,37.606514,608.0318,148.93102,78.07797,6.8495636,148.03691,7.2005157,304.55862,65.02235,237.07509,4.901960784,0,-0.463,-99,14.6339,0.163,0.4496,0.0138,0.6261,0.0066,2.855,0.9242,11.10475948
