id,RA,DEC,ebv_mw,f_f105w,e_f105w,f_f125w,e_f125w,f_f140w,e_f140w,f_f160w,e_f160w,f_f435w,e_f435w,f_f606w,e_f606w,f_f814w,e_f814w,f_f090w,e_f090w,f_f115w,e_f115w,f_f150w,e_f150w,f_f200w,e_f200w,f_f277w,e_f277w,f_f356w,e_f356w,f_f410m,e_f410m,f_f444w,e_f444w,tot_cor,kron_radius,kron_radius_circ,use_circle,flag_kron,iso_area,use_aper,a_image,b_image,theta_J2000,flux_radius,z_spec,z_phot,z_phot_chi2,mass,restU,restU_err,restV,restV_err,restJ,restJ_err,restus,restus_err,restgs,restgs_err,restis,restis_err,excess,flag,beta,beta_dark,RE,RE_ERR,N,N_ERR,Q,Q_ERR,PA,PA_ERR,lmass
924,34.24935722,-5.320025428,0.017965875,nan,nan,nan,nan,nan,nan,130.3583287,8.308736373,nan,nan,nan,nan,nan,nan,30.26035083,10.63027939,55.43685893,11.08602502,136.1039045,10.23241444,237.0063675,10.56222807,376.9732419,7.037474426,580.5059578,8.214634367,706.593046,11.77433234,773.6145289,8.237920544,1.28583393,2.768572559,0.915074663,0,0,2.216,1.4,12.6156292,5.412181377,1.232983828,0.404793723,nan,2.666092,1.1902058,1.13E+11,66.68569,8.626364,199.49786,20.092873,833.0075,71.20407,26.830437,5.762702,116.06648,5.595093,356.60434,68.35091,0,0,-99,-99,11.8576,0.3129,0.551,0.04,0.3369,0.0078,-33.8947,0.8343,11.05307844
1167,34.48283294,-5.319062587,0.019378538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.44869052,4.45251592,36.90842739,4.782745924,52.04348586,4.209332998,87.64563714,3.794814232,130.8889794,2.509262754,156.1472846,2.602989545,201.7634111,4.21550558,228.8900807,3.035056487,1.673506001,2.748684781,0.629407365,0,0,1.0064,0.7,6.968448639,4.702812672,-0.838216066,0.27807452,nan,2.8021574,3.689447,42317131294,46.46672,3.8478832,83.32457,14.622818,253.93935,23.243446,29.733236,3.6569328,56.20368,8.14819,115.003746,38.8212,0,0,0.0633,-99,5.7686,0.3593,0.5474,0.149,0.3817,0.0346,49.6636,2.8421,10.49896742
1235,34.42486882,-5.318609851,0.020652118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.896819334,2.926218472,4.354454446,4.001041287,10.58687202,4.250471817,39.98497821,3.794855842,83.92282859,3.502871524,167.3768647,2.144084877,278.1672773,2.590195392,358.0499993,4.170761379,412.0160231,2.848722115,1.399165407,2.826285166,0.609786246,0,0,1.1744,0.7,6.783560276,4.288897038,-0.007666714,0.189619025,nan,2.5142984,0.071812086,69345975942,17.373095,5.3115587,78.342094,6.006405,404.33868,17.566513,6.776551,2.7309878,46.913048,8.735899,153.34998,13.560974,8.333333333,0,1.1997,-99,-99,-99,8,2.17E+12,-99,-99,-0.7466,3.91E+12,10.93722674
1243,34.25739863,-5.31857757,0.01811165,nan,nan,nan,nan,nan,nan,50.90091564,4.274917852,nan,nan,nan,nan,nan,nan,25.86015038,4.040202579,31.6282763,4.222149147,52.22212216,3.9312554,101.6350121,3.515173796,130.1753922,2.207309233,187.2425553,2.396486394,201.7503825,3.805246346,233.7460434,2.683741151,1.507974176,2.667723551,0.549819428,0,0,0.912,0.7,6.619996071,4.010336399,0.148904458,0.225703173,nan,2.5513945,2.3760464,24768071333,40.284454,9.060154,94.099335,5.8838005,230.77728,10.238861,28.095675,3.5089016,57.04483,3.4696426,128.04034,6.4442177,8.426395939,0,-0.4178,-99,-99,-99,8,323.5496,-99,-99,89.9355,1187.5137,10.59320856
1255,34.33977325,-5.318785943,0.019889236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.16403103,9.757643937,-9.555692388,10.32355294,93.23382092,9.495360936,241.0332207,9.669770661,566.2540271,6.98956882,1005.03159,8.595756927,1303.105825,14.55286608,1498.409276,8.828449116,1.225785817,2.672923032,0.930776535,0,0,2.9424,1.4,11.07242012,6.844715595,0.703771234,0.341925721,nan,2.661832,9.67896,3.85E+11,16.248354,3.006064,187.2209,11.136459,1838.8269,72.91327,1.4254934,1.3634467,83.65734,8.002548,495.41162,24.210236,0,0,1.3225,-99,-99,-99,2.8584,239.1477,-99,-99,0.0005728,4350,11.66518743
1301,34.24619713,-5.318425607,0.017919514,nan,nan,nan,nan,nan,nan,13.09694325,4.201314071,nan,nan,nan,nan,nan,nan,3.986479196,4.260616143,7.990144899,4.276464315,11.98995879,3.692774056,22.58188782,3.136708841,57.27201406,2.036550356,97.239758,2.397118893,143.3381681,3.893797881,167.9859648,2.715144136,1.553058474,3.087371281,0.56642802,0,0,0.6144,0.7,6.395102978,3.289608479,1.086726785,0.247929919,nan,3.4994094,0.44931027,49578571045,15.466075,2.6576629,38.9695,6.518278,264.54266,133.91798,8.997607,2.259573,21.95551,4.8003664,85.97337,7.1174316,0.623306233,0,0.3724,-99,10.654,0.3852,0.2465,0.0694,0.2426,0.0131,-29.7901,1.2173,10.76527895
2362,34.36479802,-5.316047584,0.020427212,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.25686403,11.61784903,59.16662506,11.691276,173.4349296,11.26812849,307.8102304,11.6782292,475.9379633,7.107777012,nan,nan,734.9088109,11.30602436,785.9067905,7.798316831,1.307981137,2.577934322,0.980820441,0,0,3.0832,1.4,11.65422153,7.763044357,1.200737476,0.408484572,nan,2.6605194,8.07E-06,64122292747,85.284996,74.268555,284.0456,55.63562,842.6511,267.44437,38.15566,69.229225,197.5689,144.45465,442.56073,130.08952,5.054151625,0,-0.5065,-99,8.6069,0.5789,0.6288,0.1492,0.3305,0.0252,-28.2481,2.0577,10.91141476
4120,34.37335816,-5.314732417,0.020577268,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.60156241,7.482140067,20.6741036,7.89467406,70.37212854,7.051919717,189.1608972,7.173103397,304.9952523,6.080706588,323.849974,5.760310839,362.3956227,8.954546413,382.7905049,6.272364774,1.095947275,nan,nan,1,1,3.3472,1.4,11.32768059,10.15014362,-0.535461664,0.890538729,nan,3.0999613,0.5256192,52659101360,50.43291,14.287022,164.69453,55.48581,348.53882,57.083206,23.908545,3.441084,125.182755,95.26636,213.57158,105.25992,-5.277777778,0,0.0587,-99,6.4389,0.4587,8,0.3366,0.7425,0.0124,81.1778,1.6781,11.41246571
4567,34.30481574,-5.311184558,0.018941534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.49065552,2.13280625,11.63734454,2.229329415,20.75813561,1.917809865,37.90667675,1.715927477,63.93277627,1.187450542,104.7593642,1.288516887,136.6382562,2.139517927,155.1105874,1.475762,1.187328163,nan,nan,1,1,1.9792,0.7,11.93437004,5.199666023,-0.567499161,0.395874928,nan,2.6704779,0.006667783,25506785318,15.201556,1.9251189,36.234783,13.0047655,162.28104,15.789528,11.026133,1.7540717,24.834381,4.894663,61.689056,26.772387,26.08695652,1,0.7726,-99,16.0107,0.6743,0.4363,0.062,0.2414,0.01,62.1184,0.9881,10.53291147
5414,34.33248805,-5.309547444,0.01961902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.67906224,10.86428927,50.24719774,10.35687707,123.4113295,10.07878007,163.5584452,10.08555768,187.961015,5.375797971,233.149434,5.480066649,248.3146147,8.355988451,264.5510835,6.028134731,1.205308227,2.599001332,0.816780779,0,0,1.7872,1.4,9.282632828,6.649773598,-0.068410963,0.369221766,nan,2.5610516,0.000168932,21301523382,54.5681,43.506138,142.67284,10.014671,279.62823,17.14119,30.05958,19.007927,117.194695,12.890369,177.9434,16.9738,5.093457944,0,-0.5907,-99,12.7296,0.402,0.5823,0.0425,0.6219,0.0162,75.4167,2.4717,10.30107543
